baseline,e-persona-you,e-persona-human,e-implcit-target,e-implcit-target-e-persona-you,e-implcit-target-e-persona-human,TextFoolerJin2019
"{'distance': 0.3894736842105263, 'evidence_accuracy': 0.49930651872399445, 'evidence_precision': 0.21518987341772153, 'evidence_recall': 0.3756906077348066, 'evidence_f1': 0.27364185110663986, 'similarity_metrics': np.float32(0.99111557), 'contradiction': 0.9937477111816406}","{'distance': 0.8571428571428572, 'evidence_accuracy': 0.26768377253814146, 'evidence_precision': 0.23751891074130105, 'evidence_recall': 0.8674033149171271, 'evidence_f1': 0.3729216152019002, 'similarity_metrics': np.float32(0.837359), 'contradiction': 0.00791124440729618}","{'distance': 0.8641975308641976, 'evidence_accuracy': 0.27739251040221913, 'evidence_precision': 0.24474474474474475, 'evidence_recall': 0.9005524861878453, 'evidence_f1': 0.38488783943329397, 'similarity_metrics': np.float32(0.85142845), 'contradiction': 0.003438819432631135}","{'distance': 0.43217665615141954, 'evidence_accuracy': 0.5090152565880721, 'evidence_precision': 0.26038781163434904, 'evidence_recall': 0.5193370165745856, 'evidence_f1': 0.34686346863468637, 'similarity_metrics': np.float32(0.9941843), 'contradiction': 0.9787213802337646}","{'distance': 0.43823760818253343, 'evidence_accuracy': 0.5145631067961165, 'evidence_precision': 0.2684931506849315, 'evidence_recall': 0.5414364640883977, 'evidence_f1': 0.3589743589743589, 'similarity_metrics': np.float32(0.99289465), 'contradiction': 0.9829699993133545}","{'distance': 0.4357366771159875, 'evidence_accuracy': 0.5187239944521498, 'evidence_precision': 0.27071823204419887, 'evidence_recall': 0.5414364640883977, 'evidence_f1': 0.36095764272559844, 'similarity_metrics': np.float32(0.98617136), 'contradiction': 0.980245053768158}","{'distance': 0.01664355062413314, 'evidence_accuracy': 0.7600554785020804, 'evidence_precision': 0.8333333333333334, 'evidence_recall': 0.055248618784530384, 'evidence_f1': 0.10362694300518134, 'similarity_metrics': np.float32(0.99178374), 'contradiction': 0.0297627542167902}"
,,,"{'distance': 0.5593495934959349, 'evidence_accuracy': 0.390625, 'evidence_precision': 0.2685370741482966, 'evidence_recall': 0.5654008438818565, 'evidence_f1': 0.36413043478260865, 'similarity_metrics': np.float32(0.66919243), 'contradiction': 0.5814354419708252}","{'distance': 0.4749807544264819, 'evidence_accuracy': 0.40625, 'evidence_precision': 0.24475524475524477, 'evidence_recall': 0.4430379746835443, 'evidence_f1': 0.3153153153153153, 'similarity_metrics': np.float32(0.7802624), 'contradiction': 0.20179243385791779}","{'distance': 0.5553784860557769, 'evidence_accuracy': 0.3411458333333333, 'evidence_precision': 0.22606924643584522, 'evidence_recall': 0.46835443037974683, 'evidence_f1': 0.30494505494505497, 'similarity_metrics': np.float32(0.7396747), 'contradiction': 0.27666857838630676}","{'distance': 0.0078125, 'evidence_accuracy': 0.6940104166666666, 'evidence_precision': 0.6666666666666666, 'evidence_recall': 0.016877637130801686, 'evidence_f1': 0.03292181069958847, 'similarity_metrics': np.float32(0.99075425), 'contradiction': 0.0034834318794310093}"
,,,,,,"{'distance': 0.017035775127768327, 'evidence_accuracy': 0.8654173764906303, 'evidence_precision': 0.0, 'evidence_recall': 0.0, 'evidence_f1': 0, 'similarity_metrics': np.float32(0.9620078), 'contradiction': 0.07197985053062439}"
"{'distance': 0.45315161839863716, 'evidence_accuracy': 0.46015037593984964, 'evidence_precision': 0.07492795389048991, 'evidence_recall': 0.40625, 'evidence_f1': 0.12652068126520682, 'similarity_metrics': np.float32(0.9810107), 'contradiction': 0.10477354377508163}",,,"{'distance': 0.3938384679433805, 'evidence_accuracy': 0.5383458646616541, 'evidence_precision': 0.09634551495016612, 'evidence_recall': 0.453125, 'evidence_f1': 0.1589041095890411, 'similarity_metrics': np.float32(0.98907113), 'contradiction': 0.9634929299354553}","{'distance': 0.30313014827018125, 'evidence_accuracy': 0.606015037593985, 'evidence_precision': 0.09090909090909091, 'evidence_recall': 0.34375, 'evidence_f1': 0.1437908496732026, 'similarity_metrics': np.float32(0.9897167), 'contradiction': 0.9755433797836304}","{'distance': 0.4511352418558736, 'evidence_accuracy': 0.48721804511278194, 'evidence_precision': 0.1421188630490956, 'evidence_recall': 0.859375, 'evidence_f1': 0.2439024390243902, 'similarity_metrics': np.float32(0.9873965), 'contradiction': 0.9745979309082031}","{'distance': 0.03007518796992481, 'evidence_accuracy': 0.9067669172932331, 'evidence_precision': 0.55, 'evidence_recall': 0.171875, 'evidence_f1': 0.2619047619047619, 'similarity_metrics': np.float32(0.89371675), 'contradiction': 0.053878650069236755}"
,"{'distance': 0.8174603174603174, 'evidence_accuracy': 0.11822660098522167, 'evidence_precision': 0.04990757855822551, 'evidence_recall': 0.54, 'evidence_f1': 0.09137055837563453, 'similarity_metrics': np.float32(0.8464551), 'contradiction': 0.013347807340323925}","{'distance': 0.8436213991769548, 'evidence_accuracy': 0.13628899835796388, 'evidence_precision': 0.06884057971014493, 'evidence_recall': 0.76, 'evidence_f1': 0.12624584717607973, 'similarity_metrics': np.float32(0.8580445), 'contradiction': 0.06365355849266052}",,,,"{'distance': 0.0049261083743842304, 'evidence_accuracy': 0.9129720853858785, 'evidence_precision': 0.0, 'evidence_recall': 0.0, 'evidence_f1': 0, 'similarity_metrics': np.float32(0.99922717), 'contradiction': 0.038348544389009476}"
"{'distance': 0.9308176100628931, 'evidence_accuracy': 0.22644927536231885, 'evidence_precision': 0.19736842105263158, 'evidence_recall': 1.0, 'evidence_f1': 0.32967032967032966, 'similarity_metrics': np.float32(0.6555189), 'contradiction': 0.6100170016288757}","{'distance': 0.4862579281183932, 'evidence_accuracy': 0.5217391304347826, 'evidence_precision': 0.24271844660194175, 'evidence_recall': 0.7142857142857143, 'evidence_f1': 0.36231884057971014, 'similarity_metrics': np.float32(0.9854541), 'contradiction': 0.6010138988494873}",,"{'distance': 0.5483214649033571, 'evidence_accuracy': 0.4492753623188406, 'evidence_precision': 0.2012012012012012, 'evidence_recall': 0.638095238095238, 'evidence_f1': 0.30593607305936066, 'similarity_metrics': np.float32(0.9523421), 'contradiction': 0.9364868402481079}","{'distance': 0.4676409185803758, 'evidence_accuracy': 0.5507246376811594, 'evidence_precision': 0.25925925925925924, 'evidence_recall': 0.7333333333333333, 'evidence_f1': 0.38308457711442784, 'similarity_metrics': np.float32(0.95673704), 'contradiction': 0.9506228566169739}","{'distance': 0.5010570824524313, 'evidence_accuracy': 0.5126811594202898, 'evidence_precision': 0.24050632911392406, 'evidence_recall': 0.7238095238095238, 'evidence_f1': 0.36104513064133015, 'similarity_metrics': np.float32(0.9182114), 'contradiction': 0.9419394135475159}","{'distance': 0.03804347826086951, 'evidence_accuracy': 0.8152173913043478, 'evidence_precision': 0.5714285714285714, 'evidence_recall': 0.11428571428571428, 'evidence_f1': 0.19047619047619044, 'similarity_metrics': np.float32(0.99575686), 'contradiction': 0.01251212228089571}"
"{'distance': 0.9542450432130147, 'evidence_accuracy': 0.2423907028223575, 'evidence_precision': 0.235527809307605, 'evidence_recall': 0.9496567505720824, 'evidence_f1': 0.37744429286039105, 'similarity_metrics': np.float32(0.8615355), 'contradiction': 0.9429814219474792}","{'distance': 0.9682203389830508, 'evidence_accuracy': 0.2401770890979524, 'evidence_precision': 0.23678290213723285, 'evidence_recall': 0.9633867276887872, 'evidence_f1': 0.3801354401805869, 'similarity_metrics': np.float32(0.7925633), 'contradiction': 0.14094069600105286}","{'distance': 0.9722962173681406, 'evidence_accuracy': 0.2363032650802435, 'evidence_precision': 0.2352610892756878, 'evidence_recall': 0.9588100686498856, 'evidence_f1': 0.37781785392245265, 'similarity_metrics': np.float32(0.80752563), 'contradiction': 0.2766323983669281}",,,,
"{'distance': 0.4730238393977415, 'evidence_accuracy': 0.3630952380952381, 'evidence_precision': 0.12244897959183673, 'evidence_recall': 0.36363636363636365, 'evidence_f1': 0.18320610687022898, 'similarity_metrics': np.float32(0.8079927), 'contradiction': 0.9444417357444763}","{'distance': 0.47607052896725444, 'evidence_accuracy': 0.3551587301587302, 'evidence_precision': 0.11824324324324324, 'evidence_recall': 0.35353535353535354, 'evidence_f1': 0.1772151898734177, 'similarity_metrics': np.float32(0.8117241), 'contradiction': 0.9266511797904968}","{'distance': 0.4636591478696742, 'evidence_accuracy': 0.3630952380952381, 'evidence_precision': 0.11724137931034483, 'evidence_recall': 0.3434343434343434, 'evidence_f1': 0.1748071979434447, 'similarity_metrics': np.float32(0.81028444), 'contradiction': 0.9638614654541016}","{'distance': 0.5672955974842767, 'evidence_accuracy': 0.30753968253968256, 'evidence_precision': 0.12349397590361445, 'evidence_recall': 0.41414141414141414, 'evidence_f1': 0.1902552204176334, 'similarity_metrics': np.float32(0.8027557), 'contradiction': 0.03721947222948074}","{'distance': 0.37136706135629705, 'evidence_accuracy': 0.5257936507936508, 'evidence_precision': 0.16981132075471697, 'evidence_recall': 0.36363636363636365, 'evidence_f1': 0.23151125401929262, 'similarity_metrics': np.float32(0.9835074), 'contradiction': 0.8645310401916504}","{'distance': 0.5408734602463605, 'evidence_accuracy': 0.38095238095238093, 'evidence_precision': 0.14381270903010032, 'evidence_recall': 0.43434343434343436, 'evidence_f1': 0.21608040201005022, 'similarity_metrics': np.float32(0.83222836), 'contradiction': 0.041456762701272964}","{'distance': 0.007936507936507908, 'evidence_accuracy': 0.7996031746031746, 'evidence_precision': 0.25, 'evidence_recall': 0.010101010101010102, 'evidence_f1': 0.01941747572815534, 'similarity_metrics': np.float32(0.99866354), 'contradiction': 0.004562993533909321}"
,"{'distance': 1.0, 'evidence_accuracy': 0.12462006079027356, 'evidence_precision': 0.12462006079027356, 'evidence_recall': 1.0, 'evidence_f1': 0.2216216216216216, 'similarity_metrics': np.float32(0.009346109), 'contradiction': 0.6671488881111145}",,"{'distance': 0.41117597998331945, 'evidence_accuracy': 0.5015197568389058, 'evidence_precision': 0.09803921568627451, 'evidence_recall': 0.36585365853658536, 'evidence_f1': 0.15463917525773196, 'similarity_metrics': np.float32(0.9835454), 'contradiction': 0.8407829403877258}","{'distance': 0.39698492462311563, 'evidence_accuracy': 0.513677811550152, 'evidence_precision': 0.10067114093959731, 'evidence_recall': 0.36585365853658536, 'evidence_f1': 0.15789473684210525, 'similarity_metrics': np.float32(0.9910172), 'contradiction': 0.8480463027954102}","{'distance': 0.30567315834038955, 'evidence_accuracy': 0.5592705167173252, 'evidence_precision': 0.08064516129032258, 'evidence_recall': 0.24390243902439024, 'evidence_f1': 0.12121212121212122, 'similarity_metrics': np.float32(0.98968077), 'contradiction': 0.8465313911437988}","{'distance': 0.001519756838905817, 'evidence_accuracy': 0.8768996960486323, 'evidence_precision': 1.0, 'evidence_recall': 0.012195121951219513, 'evidence_f1': 0.024096385542168676, 'similarity_metrics': np.float32(1.0), 'contradiction': 0.00453800056129694}"
"{'distance': 0.9473129610115911, 'evidence_accuracy': 0.12004662004662005, 'evidence_precision': 0.09843937575030012, 'evidence_recall': 0.9534883720930233, 'evidence_f1': 0.17845484221980415, 'similarity_metrics': np.float32(0.9022578), 'contradiction': 0.922694206237793}","{'distance': 0.9007391763463569, 'evidence_accuracy': 0.1351981351981352, 'evidence_precision': 0.0960591133004926, 'evidence_recall': 0.9069767441860465, 'evidence_f1': 0.17371937639198218, 'similarity_metrics': np.float32(0.85480195), 'contradiction': 0.9389237761497498}",,"{'distance': 0.2947831552482715, 'evidence_accuracy': 0.627039627039627, 'evidence_precision': 0.10738255033557047, 'evidence_recall': 0.37209302325581395, 'evidence_f1': 0.16666666666666666, 'similarity_metrics': np.float32(0.9906229), 'contradiction': 0.9787237644195557}","{'distance': 0.8716904276985743, 'evidence_accuracy': 0.1561771561771562, 'evidence_precision': 0.10025062656641603, 'evidence_recall': 0.9302325581395349, 'evidence_f1': 0.1809954751131222, 'similarity_metrics': np.float32(0.9074027), 'contradiction': 0.9573866128921509}","{'distance': 0.2947831552482715, 'evidence_accuracy': 0.6095571095571095, 'evidence_precision': 0.08080808080808081, 'evidence_recall': 0.27906976744186046, 'evidence_f1': 0.12532637075718014, 'similarity_metrics': np.float32(0.99612916), 'contradiction': 0.9666000008583069}","{'distance': 0.004662004662004615, 'evidence_accuracy': 0.8974358974358975, 'evidence_precision': 0.25, 'evidence_recall': 0.011627906976744186, 'evidence_f1': 0.02222222222222222, 'similarity_metrics': np.float32(1.0), 'contradiction': 0.00860405620187521}"
"{'distance': 0.8584298584298584, 'evidence_accuracy': 0.3410714285714286, 'evidence_precision': 0.2964426877470356, 'evidence_recall': 0.9202453987730062, 'evidence_f1': 0.4484304932735426, 'similarity_metrics': np.float32(0.94282573), 'contradiction': 0.9663676023483276}","{'distance': 0.911042944785276, 'evidence_accuracy': 0.29285714285714287, 'evidence_precision': 0.2806026365348399, 'evidence_recall': 0.9141104294478528, 'evidence_f1': 0.4293948126801153, 'similarity_metrics': np.float32(0.7366541), 'contradiction': 0.9004906415939331}","{'distance': 0.916923076923077, 'evidence_accuracy': 0.29285714285714287, 'evidence_precision': 0.28142589118198874, 'evidence_recall': 0.9202453987730062, 'evidence_f1': 0.4310344827586207, 'similarity_metrics': np.float32(0.7589507), 'contradiction': 0.8193159103393555}","{'distance': 0.6185458377239199, 'evidence_accuracy': 0.4714285714285714, 'evidence_precision': 0.3245382585751979, 'evidence_recall': 0.754601226993865, 'evidence_f1': 0.4538745387453875, 'similarity_metrics': np.float32(0.9684864), 'contradiction': 0.9953230023384094}","{'distance': 0.9, 'evidence_accuracy': 0.2910714285714286, 'evidence_precision': 0.27756653992395436, 'evidence_recall': 0.8957055214723927, 'evidence_f1': 0.42380261248185774, 'similarity_metrics': np.float32(0.77494967), 'contradiction': 0.9977923631668091}",,"{'distance': 0.005357142857142838, 'evidence_accuracy': 0.7107142857142857, 'evidence_precision': 0.6666666666666666, 'evidence_recall': 0.012269938650306749, 'evidence_f1': 0.024096385542168672, 'similarity_metrics': np.float32(0.99939793), 'contradiction': 0.2916770279407501}"
"{'distance': 0.7893835616438356, 'evidence_accuracy': 0.26218851570964247, 'evidence_precision': 0.16084788029925187, 'evidence_recall': 0.9416058394160584, 'evidence_f1': 0.2747603833865815, 'similarity_metrics': np.float32(0.9545908), 'contradiction': 0.020528297871351242}","{'distance': 0.9254302103250478, 'evidence_accuracy': 0.17984832069339113, 'evidence_precision': 0.15324384787472037, 'evidence_recall': 1.0, 'evidence_f1': 0.2657613967022308, 'similarity_metrics': np.float32(0.89959), 'contradiction': 0.001508923596702516}","{'distance': 0.8845043310875842, 'evidence_accuracy': 0.19176598049837487, 'evidence_precision': 0.15040183696900114, 'evidence_recall': 0.9562043795620438, 'evidence_f1': 0.2599206349206349, 'similarity_metrics': np.float32(0.9042721), 'contradiction': 0.006818464491516352}",,,,"{'distance': 0.0021668472372697867, 'evidence_accuracy': 0.8515709642470206, 'evidence_precision': 0.5, 'evidence_recall': 0.0072992700729927005, 'evidence_f1': 0.014388489208633093, 'similarity_metrics': np.float32(0.99129283), 'contradiction': 0.0449453704059124}"
"{'distance': 0.9701289884589274, 'evidence_accuracy': 0.2540381791483113, 'evidence_precision': 0.2520446096654275, 'evidence_recall': 0.9713467048710601, 'evidence_f1': 0.4002361275088548, 'similarity_metrics': np.float32(0.7844534), 'contradiction': 0.46088746190071106}","{'distance': 0.9856938483547926, 'evidence_accuracy': 0.25844346549192365, 'evidence_precision': 0.2557280118255728, 'evidence_recall': 0.9914040114613181, 'evidence_f1': 0.4065804935370153, 'similarity_metrics': np.float32(0.8177136), 'contradiction': 0.06597206741571426}","{'distance': 0.9773210489014883, 'evidence_accuracy': 0.2525697503671072, 'evidence_precision': 0.2516703786191537, 'evidence_recall': 0.9713467048710601, 'evidence_f1': 0.39976415094339623, 'similarity_metrics': np.float32(0.8059185), 'contradiction': 0.02388840541243553}",,,,"{'distance': 0.0022026431718061845, 'evidence_accuracy': 0.7415565345080763, 'evidence_precision': 0.0, 'evidence_recall': 0.0, 'evidence_f1': 0, 'similarity_metrics': np.float32(0.9989634), 'contradiction': 0.0017229809891432524}"
,,"{'distance': 0.9024807527801539, 'evidence_accuracy': 0.26678765880217786, 'evidence_precision': 0.24784688995215312, 'evidence_recall': 0.9217081850533808, 'evidence_f1': 0.39064856711915535, 'similarity_metrics': np.float32(0.8201827), 'contradiction': 0.4997740685939789}","{'distance': 0.34068241469816274, 'evidence_accuracy': 0.5653357531760436, 'evidence_precision': 0.2911392405063291, 'evidence_recall': 0.49110320284697506, 'evidence_f1': 0.36556291390728474, 'similarity_metrics': np.float32(0.9854634), 'contradiction': 0.9447907209396362}","{'distance': 0.3221406086044072, 'evidence_accuracy': 0.588929219600726, 'evidence_precision': 0.31222707423580787, 'evidence_recall': 0.5088967971530249, 'evidence_f1': 0.3870094722598106, 'similarity_metrics': np.float32(0.9714183), 'contradiction': 0.679661214351654}","{'distance': 0.37382198952879586, 'evidence_accuracy': 0.5544464609800362, 'evidence_precision': 0.2916666666666667, 'evidence_recall': 0.5231316725978647, 'evidence_f1': 0.37452229299363055, 'similarity_metrics': np.float32(0.96041596), 'contradiction': 0.9433764219284058}","{'distance': 0.0009074410163338875, 'evidence_accuracy': 0.7441016333938294, 'evidence_precision': 0.0, 'evidence_recall': 0.0, 'evidence_f1': 0, 'similarity_metrics': np.float32(0.9995918), 'contradiction': 0.005115448497235775}"
,,,,"{'distance': 0.4543568464730291, 'evidence_accuracy': 0.5175834084761046, 'evidence_precision': 0.23232323232323232, 'evidence_recall': 0.6359447004608295, 'evidence_f1': 0.3403205918618989, 'similarity_metrics': np.float32(0.92614317), 'contradiction': 0.9282189607620239}",,"{'distance': 0.012623985572587926, 'evidence_accuracy': 0.8007213706041478, 'evidence_precision': 0.35714285714285715, 'evidence_recall': 0.02304147465437788, 'evidence_f1': 0.043290043290043295, 'similarity_metrics': np.float32(0.98593), 'contradiction': 0.009922941215336323}"
"{'distance': 0.7458333333333333, 'evidence_accuracy': 0.2972972972972973, 'evidence_precision': 0.3032258064516129, 'evidence_recall': 0.6811594202898551, 'evidence_f1': 0.41964285714285715, 'similarity_metrics': np.float32(0.9289354), 'contradiction': 0.01676013693213463}","{'distance': 0.7339055793991416, 'evidence_accuracy': 0.28378378378378377, 'evidence_precision': 0.29449838187702265, 'evidence_recall': 0.6594202898550725, 'evidence_f1': 0.407158836689038, 'similarity_metrics': np.float32(0.90573394), 'contradiction': 0.0884585827589035}","{'distance': 0.8865248226950355, 'evidence_accuracy': 0.32972972972972975, 'evidence_precision': 0.34104046242774566, 'evidence_recall': 0.855072463768116, 'evidence_f1': 0.487603305785124, 'similarity_metrics': np.float32(0.8086504), 'contradiction': 0.015358378179371357}",,,,"{'distance': 0.00540540540540535, 'evidence_accuracy': 0.6270270270270271, 'evidence_precision': 0.5, 'evidence_recall': 0.007246376811594203, 'evidence_f1': 0.014285714285714285, 'similarity_metrics': np.float32(0.9550652), 'contradiction': 0.013277731835842133}"
"{'distance': 0.34916864608076015, 'evidence_accuracy': 0.5687409551374819, 'evidence_precision': 0.060714285714285714, 'evidence_recall': 0.3269230769230769, 'evidence_f1': 0.10240963855421686, 'similarity_metrics': np.float32(0.9987753), 'contradiction': 0.33268874883651733}","{'distance': 0.9444444444444444, 'evidence_accuracy': 0.09696092619392185, 'evidence_precision': 0.07313432835820896, 'evidence_recall': 0.9423076923076923, 'evidence_f1': 0.13573407202216067, 'similarity_metrics': np.float32(0.8595245), 'contradiction': 0.04242128133773804}","{'distance': 0.9731182795698925, 'evidence_accuracy': 0.07670043415340087, 'evidence_precision': 0.07038123167155426, 'evidence_recall': 0.9230769230769231, 'evidence_f1': 0.13079019073569484, 'similarity_metrics': np.float32(0.763714), 'contradiction': 0.292037695646286}",,,,"{'distance': 0.0028943560057886897, 'evidence_accuracy': 0.9218523878437048, 'evidence_precision': 0.0, 'evidence_recall': 0.0, 'evidence_f1': 0, 'similarity_metrics': np.float32(0.99829006), 'contradiction': 0.006929274648427963}"
"{'distance': 0.4051054384017758, 'evidence_accuracy': 0.4909456740442656, 'evidence_precision': 0.3115468409586057, 'evidence_recall': 0.4294294294294294, 'evidence_f1': 0.3611111111111111, 'similarity_metrics': np.float32(0.9677904), 'contradiction': 0.9891196489334106}","{'distance': 0.9575699132111861, 'evidence_accuracy': 0.3209255533199195, 'evidence_precision': 0.32407407407407407, 'evidence_recall': 0.9459459459459459, 'evidence_f1': 0.4827586206896552, 'similarity_metrics': np.float32(0.59218764), 'contradiction': 0.9941478967666626}",,"{'distance': 0.41860465116279066, 'evidence_accuracy': 0.48993963782696176, 'evidence_precision': 0.3148936170212766, 'evidence_recall': 0.4444444444444444, 'evidence_f1': 0.36861768368617687, 'similarity_metrics': np.float32(0.9645066), 'contradiction': 0.9931614398956299}","{'distance': 0.4153337010479867, 'evidence_accuracy': 0.4859154929577465, 'evidence_precision': 0.3090128755364807, 'evidence_recall': 0.43243243243243246, 'evidence_f1': 0.360450563204005, 'similarity_metrics': np.float32(0.97006506), 'contradiction': 0.9909441471099854}","{'distance': 0.39603960396039606, 'evidence_accuracy': 0.48490945674044267, 'evidence_precision': 0.29977628635346754, 'evidence_recall': 0.4024024024024024, 'evidence_f1': 0.3435897435897436, 'similarity_metrics': np.float32(0.9700579), 'contradiction': 0.9931334853172302}","{'distance': 0.017102615694164935, 'evidence_accuracy': 0.6639839034205232, 'evidence_precision': 0.47058823529411764, 'evidence_recall': 0.024024024024024024, 'evidence_f1': 0.04571428571428571, 'similarity_metrics': np.float32(0.98704433), 'contradiction': 0.05193524435162544}"
,,,,"{'distance': 0.2435530085959885, 'evidence_accuracy': 0.6417112299465241, 'evidence_precision': 0.13333333333333333, 'evidence_recall': 0.275, 'evidence_f1': 0.1795918367346939, 'similarity_metrics': np.float32(0.98673224), 'contradiction': 0.9546870589256287}","{'distance': 0.40806293018682405, 'evidence_accuracy': 0.5133689839572193, 'evidence_precision': 0.13026819923371646, 'evidence_recall': 0.425, 'evidence_f1': 0.19941348973607034, 'similarity_metrics': np.float32(0.9910651), 'contradiction': 0.6854983568191528}","{'distance': 0.0017825311942959443, 'evidence_accuracy': 0.8556149732620321, 'evidence_precision': 0.0, 'evidence_recall': 0.0, 'evidence_f1': 0, 'similarity_metrics': np.float32(0.9996874), 'contradiction': 0.004844109993427992}"
,"{'distance': 0.5176604633497911, 'evidence_accuracy': 0.5921849201981287, 'evidence_precision': 0.5042301184433164, 'evidence_recall': 0.7936085219707057, 'evidence_f1': 0.6166580444904294, 'similarity_metrics': np.float32(0.9756667), 'contradiction': 0.01741471327841282}","{'distance': 0.9829787234042553, 'evidence_accuracy': 0.41001651073197576, 'evidence_precision': 0.410882842865075, 'evidence_recall': 0.9853528628495339, 'evidence_f1': 0.5799373040752351, 'similarity_metrics': np.float32(0.7760438), 'contradiction': 0.07791179418563843}",,,,"{'distance': 0.0005503577325260967, 'evidence_accuracy': 0.5861309851403412, 'evidence_precision': 0.0, 'evidence_recall': 0.0, 'evidence_f1': 0, 'similarity_metrics': np.float32(0.9998853), 'contradiction': 0.2765383720397949}"
"{'distance': 0.924, 'evidence_accuracy': 0.20054054054054055, 'evidence_precision': 0.20056338028169013, 'evidence_recall': 0.8557692307692307, 'evidence_f1': 0.32496576905522595, 'similarity_metrics': np.float32(0.8317702), 'contradiction': 0.0029137241654098034}","{'distance': 0.5297641332834144, 'evidence_accuracy': 0.4227027027027027, 'evidence_precision': 0.2332242225859247, 'evidence_recall': 0.6850961538461539, 'evidence_f1': 0.347985347985348, 'similarity_metrics': np.float32(0.9907729), 'contradiction': 0.01994871348142624}","{'distance': 0.9771665801764401, 'evidence_accuracy': 0.22216216216216217, 'evidence_precision': 0.22033898305084745, 'evidence_recall': 0.96875, 'evidence_f1': 0.3590200445434298, 'similarity_metrics': np.float32(0.81996727), 'contradiction': 0.08734641969203949}",,,,"{'distance': 0.000540540540540535, 'evidence_accuracy': 0.7756756756756756, 'evidence_precision': 1.0, 'evidence_recall': 0.002403846153846154, 'evidence_f1': 0.004796163069544364, 'similarity_metrics': np.float32(0.9966246), 'contradiction': 0.0016261449782177806}"
,,,"{'distance': 0.2980456026058632, 'evidence_accuracy': 0.6122137404580152, 'evidence_precision': 0.08444444444444445, 'evidence_recall': 0.2835820895522388, 'evidence_f1': 0.13013698630136988, 'similarity_metrics': np.float32(0.95532453), 'contradiction': 0.9593519568443298}",,,"{'distance': 0.004580152671755711, 'evidence_accuracy': 0.8961832061068702, 'evidence_precision': 0.3333333333333333, 'evidence_recall': 0.014925373134328358, 'evidence_f1': 0.028571428571428574, 'similarity_metrics': np.float32(0.9932296), 'contradiction': 0.13111956417560577}"
"{'distance': 0.4551181102362205, 'evidence_accuracy': 0.4438040345821326, 'evidence_precision': 0.40229885057471265, 'evidence_recall': 0.44025157232704404, 'evidence_f1': 0.4204204204204205, 'similarity_metrics': np.float32(0.9664016), 'contradiction': 0.9901173710823059}","{'distance': 0.47115384615384615, 'evidence_accuracy': 0.4207492795389049, 'evidence_precision': 0.38461538461538464, 'evidence_recall': 0.44025157232704404, 'evidence_f1': 0.41055718475073316, 'similarity_metrics': np.float32(0.9651507), 'contradiction': 0.9936324954032898}","{'distance': 0.4871794871794872, 'evidence_accuracy': 0.43515850144092216, 'evidence_precision': 0.40106951871657753, 'evidence_recall': 0.4716981132075472, 'evidence_f1': 0.4335260115606937, 'similarity_metrics': np.float32(0.96731496), 'contradiction': 0.9919772744178772}","{'distance': 0.500815660685155, 'evidence_accuracy': 0.4553314121037464, 'evidence_precision': 0.42346938775510207, 'evidence_recall': 0.5220125786163522, 'evidence_f1': 0.46760563380281694, 'similarity_metrics': np.float32(0.92518115), 'contradiction': 0.9929509162902832}","{'distance': 0.4078740157480315, 'evidence_accuracy': 0.5100864553314121, 'evidence_precision': 0.46540880503144655, 'evidence_recall': 0.46540880503144655, 'evidence_f1': 0.46540880503144655, 'similarity_metrics': np.float32(0.95521706), 'contradiction': 0.9938012957572937}","{'distance': 0.1816793893129771, 'evidence_accuracy': 0.6138328530259366, 'evidence_precision': 0.6582278481012658, 'evidence_recall': 0.3270440251572327, 'evidence_f1': 0.4369747899159664, 'similarity_metrics': np.float32(0.9730477), 'contradiction': 0.9962558746337891}","{'distance': 0.0806916426512968, 'evidence_accuracy': 0.5706051873198847, 'evidence_precision': 0.6785714285714286, 'evidence_recall': 0.11949685534591195, 'evidence_f1': 0.2032085561497326, 'similarity_metrics': np.float32(0.9289887), 'contradiction': 0.02750365436077118}"
